Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-09-03,2336,1976,"37,573.00","45,774.15","1,093.00",679.00,green
2022-09-04,2034,1688,"32,938.25","40,699.70","1,007.00",526.00,green
2022-09-05,2413,1961,"35,808.52","45,125.39","1,254.00",527.00,green
2022-09-06,2707,2370,"41,483.77","52,346.00","1,416.00",676.00,green
2022-09-07,3078,2563,"43,895.97","54,977.53","1,510.00",800.00,green
2022-09-08,3424,2877,"49,913.19","62,419.20","1,667.00",922.00,green
2022-09-08,2,2,24.00,29.66,1.00,1.00,green
2022-09-09,3006,2515,"42,405.30","53,060.14","1,434.00",820.00,green
2022-09-09,2,2,23.00,24.60,0.00,2.00,green
2022-09-10,2436,2196,"38,885.53","48,058.47","1,227.00",670.00,green
2022-09-11,2179,1946,"35,740.32","44,120.08","1,145.00",529.00,green
2022-09-12,2610,2340,"36,726.61","46,232.87","1,334.00",722.00,green
2022-09-13,2545,2348,"37,436.33","47,220.12","1,366.00",722.00,green
2022-09-14,2941,2466,"38,240.99","48,220.12","1,503.00",760.00,green
2022-09-15,2865,2428,"39,872.41","50,338.98","1,487.00",695.00,green
2022-09-16,2988,2447,"38,649.88","48,264.33","1,431.00",737.00,green
2022-09-17,2450,2169,"36,798.76","45,550.96","1,194.00",697.00,green
2022-09-18,1927,1762,"29,561.57","36,986.86","1,026.00",507.00,green
2022-09-19,2628,2273,"35,443.28","44,915.64","1,329.00",694.00,green
2022-09-20,2785,2411,"38,398.78","48,639.49","1,482.00",645.00,green
2022-09-21,3116,2643,"40,852.98","51,641.43","1,578.00",767.00,green
2022-09-22,3064,2608,"40,897.56","51,717.41","1,604.00",707.00,green
2022-09-23,3054,2548,"43,936.19","54,523.29","1,468.00",760.00,green
2022-09-24,2472,2200,"38,836.43","47,948.22","1,265.00",644.00,green
2022-09-25,1983,1851,"29,746.32","37,558.35","1,127.00",472.00,green
2022-09-26,2527,2129,"32,565.82","41,074.41","1,240.00",661.00,green
2022-09-27,2577,2189,"32,666.10","42,099.62","1,348.00",655.00,green
2022-09-28,2987,2491,"36,938.71","47,089.02","1,525.00",727.00,green
2022-09-29,2966,2452,"37,664.71","47,720.82","1,442.00",739.00,green
2022-09-30,16,4,31.50,44.12,3.00,1.00,green
2022-09-30,2934,2445,"38,642.09","48,447.60","1,395.00",771.00,green
2022-10-01,2360,2110,"34,977.92","43,848.58","1,214.00",582.00,green
2022-10-01,3,3,92.00,103.80,2.00,1.00,green
2022-10-02,1933,1691,"28,079.22","34,985.42","1,033.00",460.00,green
2022-10-03,2725,2360,"34,573.70","43,820.20","1,352.00",737.00,green
2022-10-04,3,3,51.00,60.60,2.00,1.00,green
2022-10-04,2575,2222,"32,744.56","41,594.35","1,292.00",670.00,green
2022-10-05,2,2,27.50,36.76,1.00,1.00,green
2022-10-05,2568,2193,"30,772.74","39,323.11","1,297.00",690.00,green
2022-10-06,2969,2419,"36,424.91","46,181.54","1,420.00",741.00,green
2022-10-07,2954,2429,"41,396.91","51,744.53","1,376.00",755.00,green
2022-10-08,2527,2164,"36,904.68","45,616.07","1,212.00",691.00,green
2022-10-09,2034,1782,"30,208.11","37,554.87","1,069.00",536.00,green
2022-10-10,2334,1967,"30,171.53","38,413.13","1,233.00",573.00,green
2022-10-11,2725,2175,"31,597.83","39,972.82","1,316.00",700.00,green
2022-10-12,2877,2363,"35,140.15","44,885.66","1,404.00",734.00,green
2022-10-13,2979,2510,"37,124.73","46,939.53","1,513.00",733.00,green
2022-10-14,2970,2468,"38,768.14","48,646.27","1,386.00",789.00,green
2022-10-15,2621,2246,"36,459.34","45,971.27","1,345.00",642.00,green
2022-10-16,2138,1868,"29,877.21","37,574.85","1,154.00",509.00,green
2022-10-17,2834,2258,"33,981.11","42,922.82","1,346.00",702.00,green
2022-10-18,2810,2335,"34,976.15","44,581.95","1,403.00",728.00,green
2022-10-19,3040,2500,"38,108.52","48,494.93","1,548.00",703.00,green
2022-10-20,2940,2525,"38,678.86","49,042.40","1,542.00",764.00,green
2022-10-21,2753,2338,"36,418.24","45,806.29","1,378.00",721.00,green
2022-10-22,2368,2114,"35,432.28","44,382.75","1,262.00",586.00,green
2022-10-23,1,1,12.00,13.30,0.00,1.00,green
2022-10-23,2140,1847,"28,955.32","36,887.32","1,119.00",486.00,green
2022-10-24,2738,2386,"35,238.05","45,072.88","1,379.00",715.00,green
2022-10-25,2737,2267,"34,344.79","43,539.15","1,347.00",684.00,green
2022-10-26,2934,2465,"37,097.23","47,251.99","1,467.00",748.00,green
2022-10-27,3016,2588,"39,714.84","50,289.73","1,509.00",841.00,green
2022-10-27,1,1,20.00,28.86,1.00,0.00,green
2022-10-28,3006,2500,"37,990.27","48,342.40","1,483.00",746.00,green
2022-10-28,2,2,23.50,26.10,0.00,2.00,green
2022-10-29,2421,2213,"35,993.64","45,026.89","1,248.00",638.00,green
2022-10-30,2019,1852,"29,755.81","37,351.77","1,073.00",533.00,green
